,importance
APOE4,0.055567634025284474
11730765_at,0.028994793711029525
11717994_a_at,0.027313069504960968
DX,0.02714983361480251
11746877_a_at,0.025813986129423927
11740108_a_at,0.025449330254348545
11747156_x_at,0.023941425043501764
11746251_x_at,0.023448068805543697
11742487_a_at,0.023396327826844924
11719922_a_at,0.023051981347435947
11742220_x_at,0.0228368434780589
11740560_x_at,0.022657508167434774
11756334_x_at,0.02255400105653635
11722971_a_at,0.022487983706672356
11744832_x_at,0.022481935752604328
11757474_x_at,0.022037413492061057
11742204_a_at,0.020452205112796103
11750247_x_at,0.01979012007261686
11719828_x_at,0.01931548840917196
11744292_at,0.019023091858926096
11744260_a_at,0.018773730240562808
11728530_a_at,0.018754925433552554
11757417_x_at,0.01863797142195015
11736880_x_at,0.018600636687736493
AGE,0.017899016798539273
11718684_x_at,0.017761644516103688
11738864_a_at,0.017672205694990943
11719917_at,0.017590126658170106
11743045_a_at,0.017000367148461364
11725889_at,0.016982223177875892
11762549_at,0.016680574381588584
11731778_a_at,0.016430958567072836
11748344_x_at,0.01611756968846991
11731577_a_at,0.016072931271144127
11754830_a_at,0.016051966684875605
11737027_a_at,0.01595891141970992
11729677_a_at,0.01569383073749102
11718407_a_at,0.01524453169804842
11717995_x_at,0.015127657775683145
11754833_a_at,0.015023411879760851
11741190_a_at,0.014719969864011076
11719302_a_at,0.014589105784824346
11730579_a_at,0.014542209522663243
11756300_a_at,0.014215262103759178
11733513_a_at,0.01407313313197137
11747751_s_at,0.013992603618207602
11762865_a_at,0.013709743670475056
11737984_at,0.012886661960838517
11743614_a_at,0.012617424595151241
11760084_x_at,0.012461254261220392
11747038_a_at,0.01221244046050771
11731661_s_at,0.012027896071246907
PTGENDER,0.002114061703280631
