classes,features,classifier,estimator,acc,f1
'CN_AD','full','GradientBoosting',300,0.867685115,0.866080885
'CN_AD','full','GradientBoosting',500,0.866750942,0.865251003
'CN_AD','full','GradientBoosting',1000,0.865218803,0.863821352
'CN_AD','full','GradientBoosting',700,0.865164902,0.863711369
'CN_AD','full','GradientBoosting',100,0.864354908,0.862966245
'CN_AD','full','GradientBoosting',50,0.855732047,0.853815213
'CN_AD','full','RandomForest',700,0.854263933,0.851869643
'CN_AD','full','RandomForest',300,0.853989518,0.851491965
'CN_AD','full','RandomForest',1000,0.853334971,0.851030867
'CN_AD','full','RandomForest',500,0.853115647,0.850731442
'CN_AD','full','RandomForest',100,0.852569944,0.850037179
'CN_AD','full','RandomForest',50,0.852023942,0.849411268
'CN_EMCI','full','GradientBoosting',50,0.791648072,0.738516642
'CN_EMCI','full','RandomForest',300,0.786357153,0.698358393
'CN_EMCI','full','RandomForest',500,0.786356682,0.698350906
'CN_EMCI','full','RandomForest',100,0.786356447,0.700446312
'CN_EMCI','full','RandomForest',700,0.786082945,0.698088982
'CN_EMCI','full','RandomForest',1000,0.785945723,0.697331912
'CN_EMCI','full','RandomForest',50,0.785809208,0.701692794
'CN_EMCI','full','GradientBoosting',100,0.784786047,0.741724209
'CN_EMCI','full','GradientBoosting',300,0.774557501,0.738001433
'CN_EMCI','full','GradientBoosting',500,0.772151768,0.738894518
'CN_EMCI','full','GradientBoosting',1000,0.770443676,0.739228101
'CN_EMCI','full','GradientBoosting',700,0.769681778,0.738067728
'CN_LMCI','full','GradientBoosting',100,0.818113917,0.794447793
'CN_LMCI','full','GradientBoosting',50,0.817499366,0.791236418
'CN_LMCI','full','GradientBoosting',300,0.810444829,0.788499124
'CN_LMCI','full','GradientBoosting',500,0.807050847,0.78664339
'CN_LMCI','full','RandomForest',700,0.803806987,0.753994086
'CN_LMCI','full','RandomForest',500,0.802582959,0.751886293
'CN_LMCI','full','RandomForest',100,0.80251424,0.753611069
'CN_LMCI','full','RandomForest',300,0.80251424,0.752714772
'CN_LMCI','full','GradientBoosting',700,0.802365963,0.780693287
'CN_LMCI','full','RandomForest',1000,0.802312695,0.752060609
'CN_LMCI','full','RandomForest',50,0.800678658,0.751242346
'CN_LMCI','full','GradientBoosting',1000,0.800329067,0.77964445
'EMCI_AD','full','RandomForest',300,0.7724,0.752530232
'EMCI_AD','full','RandomForest',1000,0.7703,0.74938638
'EMCI_AD','full','RandomForest',700,0.7698,0.748859408
'EMCI_AD','full','RandomForest',500,0.7688,0.747967534
'EMCI_AD','full','RandomForest',100,0.7683,0.748940185
'EMCI_AD','full','GradientBoosting',100,0.7667,0.755742954
'EMCI_AD','full','GradientBoosting',300,0.766,0.756613898
'EMCI_AD','full','RandomForest',50,0.7652,0.747065717
'EMCI_AD','full','GradientBoosting',500,0.7626,0.753519966
'EMCI_AD','full','GradientBoosting',700,0.7599,0.751912692
'EMCI_AD','full','GradientBoosting',1000,0.7593,0.750996943
'EMCI_AD','full','GradientBoosting',50,0.7589,0.745280057
'EMCI_LMCI','full','GradientBoosting',300,0.606245155,0.605752646
'EMCI_LMCI','full','GradientBoosting',1000,0.600421512,0.599621196
'EMCI_LMCI','full','GradientBoosting',700,0.59807655,0.597591364
'EMCI_LMCI','full','GradientBoosting',50,0.596388081,0.594912202
'EMCI_LMCI','full','GradientBoosting',500,0.591998547,0.591531705
'EMCI_LMCI','full','RandomForest',700,0.581659399,0.578503365
'EMCI_LMCI','full','RandomForest',500,0.581636386,0.578627
'EMCI_LMCI','full','RandomForest',1000,0.580267684,0.577264928
'EMCI_LMCI','full','GradientBoosting',100,0.579733527,0.57876392
'EMCI_LMCI','full','RandomForest',300,0.579142442,0.576339485
'EMCI_LMCI','full','RandomForest',100,0.575093266,0.573729646
'EMCI_LMCI','full','RandomForest',50,0.567227471,0.566652101
'LMCI_AD','full','RandomForest',500,0.714778325,0.673969583
'LMCI_AD','full','RandomForest',700,0.714778325,0.674980855
'LMCI_AD','full','RandomForest',100,0.714679803,0.679443622
'LMCI_AD','full','RandomForest',1000,0.714285714,0.67417857
'LMCI_AD','full','RandomForest',300,0.71320197,0.674273011
'LMCI_AD','full','RandomForest',50,0.710837438,0.678758606
'LMCI_AD','full','GradientBoosting',700,0.698522167,0.682468131
'LMCI_AD','full','GradientBoosting',100,0.697044335,0.67864217
'LMCI_AD','full','GradientBoosting',1000,0.694285714,0.678034818
'LMCI_AD','full','GradientBoosting',300,0.691921182,0.6755344
'LMCI_AD','full','GradientBoosting',500,0.68955665,0.673947745
'LMCI_AD','full','GradientBoosting',50,0.689359606,0.666996334
