,importance
LHIPPO,0.025051722097380436
LENTM,0.023677918352918083
HIPPOVOL,0.02315611511959213
LPARHIPM,0.022719844048911322
RENTM,0.02241152860751445
RHIPPO,0.020798913941430564
LLATVENT,0.019590949387998678
LATVENT,0.018785804575222574
RLATVENT,0.018020261446711712
RPARHIPM,0.017921087661989594
WMHVOL,0.016470364824437828
RPARCENM,0.01624713940956369
LENT,0.015596835061615823
THIRVENT,0.01529579148558729
LPARCENM,0.014072242768231857
LPRECENM,0.013368815425673706
RENT,0.010681443832822688
LTRTEMM,0.01066304600644812
LPRECEN,0.010618194797144265
LSUPTEMM,0.010578675642647029
CERECSF,0.009273207344903276
CSFVOL,0.008982370216949285
LPERCALM,0.00893348523344228
RTRTEMM,0.00855869633211524
RISTHCM,0.008171698072008538
LISTHCM,0.008022281023752931
RPRECENM,0.007963374133720112
RPARCEN,0.0075096899298939136
LCACM,0.007216101242770881
RPERCALM,0.006908408612345622
LINSULAM,0.00675427775680547
LSUPFRM,0.0066777806855223745
LPOSCINM,0.0065639018701447215
LLING,0.006257077947296232
RSUPFRM,0.006174624888674854
RPARHIP,0.006079030663159445
LCMF,0.005988593623193747
RCAC,0.005942504860845227
LINFTEMM,0.0059078372440789445
LCMFM,0.005839542331045691
RPOSCINM,0.0058376258721122
RFUSM,0.005718745223810714
RSUPPARM,0.005706450963685007
LPARHIP,0.005700407720893222
RPRECUNM,0.00567560208780084
RMEDORBF,0.005642974644159394
LPARORB,0.005636904314066424
LTRTEM,0.005601322962731499
LINSULA,0.005513777083763787
RFUS,0.0054267085236789445
RLING,0.005419044241294276
RSUPTEMM,0.005414091141979776
LINFPAR,0.005408023734194783
RROSMFM,0.005358589700003066
RPARORB,0.005346055492101034
RPRECEN,0.005281179993229373
RSUPMARM,0.005195600211377616
LLATORBM,0.005178689967216636
LFUS,0.005149159587257288
RMEDORBM,0.0050989670241808034
RISTHC,0.005095361334664667
LPERCAL,0.005091438603824759
RPARTRI,0.005090708037585991
RCMFM,0.005087153639456944
RPARSOP,0.005059554069126599
LMIDTEMM,0.0050499188946533475
RCUNM,0.005028468570127126
TEMPCOR,0.004887541595378707
LPOSCEN,0.004822805889482986
LPARTRIM,0.0047852356879136745
LISTHC,0.004784108317752864
RTRTEM,0.004768119367563462
RMIDTEMP,0.004768057060476123
LTEMPCOR,0.004758590097884337
LMEDORBF,0.004758276409033432
LLINGM,0.004695407525076287
LPARSOP,0.004684267541392439
RINSULAM,0.004683713090362403
LPARSOPM,0.0046817718461487755
LPOSCENM,0.004676499797905182
LROSANCM,0.004653617628647437
LINFTEMP,0.004653027305414765
RPOSCIN,0.004631611382799059
LCUN,0.004629481387523287
RPERCAL,0.004620301554429728
RSUPPAR,0.00460700551020916
RPOSCEN,0.004574582488367819
LPARTRI,0.004571087557094974
RINFPAR,0.0045591226564950325
RTEMPCOR,0.004550255683793164
RCACM,0.004547247422046745
LPOSCIN,0.004494798785379547
RINFTEMP,0.004481335226132436
RLINGM,0.0044739857758038905
LPRECUNM,0.004463573551019272
RROSANCM,0.004441296216322933
RSUPFR,0.00443032877623462
RINFPARM,0.004421228722692311
LCAC,0.004418963703501924
LCUNM,0.004394780008214911
LROSMF,0.004337140488067092
LSUPTEM,0.004328562522689181
RCMF,0.004321543212979726
RINSULA,0.004318653178540195
LMEDORBM,0.004280329129639716
LLATOCCM,0.004278853716268363
LSUPFR,0.004277498365005485
LINFPARM,0.004276996797042802
LPARCEN,0.004274583543744031
LLATORBF,0.0042521835568815804
LSUPPAR,0.004247785482277944
RSUPMAR,0.004240720034726095
LPARORBM,0.004238690481701464
RMIDTEMM,0.0042370615765481776
RLATOCC,0.0042013113517830126
RLATOCCM,0.004189894447475778
CEREWH,0.004179763518230351
CEREALL,0.00410370098296724
LSUPMAR,0.004076764822439993
RPARSOPM,0.004066325682582227
RROSANC,0.004059681449359557
LFUSM,0.004039760296826754
RLATORBM,0.004014832308283349
RINFTEMM,0.00400681006631598
RROSMF,0.003991415073330951
LSUPMARM,0.00398253535198126
LROSMFM,0.003967860708951403
RSUPTEM,0.0039663437923415645
RPARORBM,0.0039597205078704826
NACCICV,0.003953973980798033
OCCCORT,0.00394710968637445
LROSANC,0.003937385750482809
RPARTRIM,0.003931384905343833
WHITEVOL,0.003914704369377038
ROCCORT,0.0038810756041777724
RLATORBF,0.0038566175857961326
LMIDTEMP,0.0038539962356279643
NACCWMVL,0.0038238583098441246
LLATOCC,0.0038177706694169982
LFRCORT,0.0037807920493503405
LPRECUN,0.00373778507202647
RPOSCENM,0.0037154535884872655
LSUPPARM,0.00370693613283139
LOCCORT,0.0037003799969299324
NACCBRNV,0.0036816446099396786
RPRECUN,0.0035273664008685897
RPARCORT,0.003426381034518659
RCUN,0.0033568344400609585
CERETISS,0.0031904859260950607
RFRCORT,0.0031860412331893634
LPARCORT,0.0031337465786937845
PARCORT,0.003093334641717882
CEREGR,0.002954521498795858
FRCORT,0.0028142865026886204
GRAYVOL,0.0027230830357348537
