,importance
RENTM,0.025357641872473392
RFUSM,0.024321637342854453
LENTM,0.021518029192260604
LHIPPO,0.02085554137789155
RSUPTEMM,0.02084431953408426
LMIDTEMM,0.019606779590936686
LATVENT,0.018954189606016515
HIPPOVOL,0.0188758818858355
LLATVENT,0.016660595505559796
CERECSF,0.016407636389318348
RHIPPO,0.01621141756283757
LFUSM,0.01564016732445428
RLATVENT,0.015584540797313123
RINFTEMM,0.015154847047823697
LINFTEMP,0.015048991154196042
LINFTEMM,0.014956996182361853
LSUPTEMM,0.0148736597731151
RMIDTEMM,0.01383487319903622
LISTHCM,0.011882979584961803
CSFVOL,0.011871684996345689
RINFTEMP,0.010709041777986584
THIRVENT,0.009732611899263638
RMIDTEMP,0.00951126950224239
RENT,0.007854142387843653
TEMPCOR,0.007763879897905855
RISTHCM,0.007518241509977958
NACCICV,0.006935231077974506
LFUS,0.006803202091323896
NACCWMVL,0.0066312360367004
RTEMPCOR,0.006520192492294076
LLINGM,0.006373370978614295
LMEDORBM,0.006335247659134763
WHITEVOL,0.006333207013399273
CEREWH,0.006207604477729821
LCACM,0.0062008409184206355
LTEMPCOR,0.006168754585186597
RPARORBM,0.006076186467009341
LPARORBM,0.00595766246031717
CEREALL,0.005901993087647486
RINFPARM,0.005872147333759929
LSUPPARM,0.005868235129873262
RLATOCCM,0.00575925459807389
LMIDTEMP,0.005718507936606891
RLATORBM,0.00571515161267447
LPARHIP,0.005674547973307006
RLINGM,0.005666448650108199
RPRECUNM,0.005660840132686003
LENT,0.005607015350136646
LPERCAL,0.005575462134490162
RFUS,0.005554815093557953
RSUPTEM,0.005541512241276349
LPARTRIM,0.005534072913829772
LPARHIPM,0.005510840173125072
LMEDORBF,0.005441255562375001
LINFPARM,0.005203374433741194
LPARCEN,0.005174035683793007
RPARHIP,0.005166481029951681
LSUPTEM,0.00515252022516693
RSUPFRM,0.005136746229860036
LPRECUNM,0.0050929054350735735
RMEDORBM,0.005063691639888283
RINFPAR,0.005048069541244189
LLATOCCM,0.005044286931046413
RROSMFM,0.005034258332633932
RCMF,0.0050307483775070775
RSUPMARM,0.004998500148103409
RPOSCINM,0.0049154765421096725
RPARSOPM,0.0049050598660263615
RLATOCC,0.004858265358233144
LSUPMARM,0.004842610628585901
RPARSOP,0.0048342785318553514
RINSULAM,0.004818432260846825
LCMF,0.0047968485256137654
RROSANCM,0.004795567583107493
RPARTRIM,0.00477749429460402
LROSMFM,0.004753195724452984
LROSANC,0.00475021893742655
LINSULAM,0.004730250928198604
RMEDORBF,0.004727521595832244
RTRTEMM,0.004722512825906973
RPERCALM,0.004719562871213258
LISTHC,0.004716737036814819
RCAC,0.004697901270147974
LSUPFRM,0.004679704101234741
LCAC,0.004671816645513906
RTRTEM,0.0046697315771724755
RPOSCIN,0.004669128522634647
NACCBRNV,0.004616573276576732
RPARTRI,0.004597432719429491
LROSANCM,0.004567575657931774
LLATOCC,0.00454251774033538
RSUPPAR,0.004522811899813994
LLING,0.004522326988498958
RPARHIPM,0.004515132134666744
RCACM,0.004489638105975245
RCMFM,0.00447032199561012
RROSANC,0.004468146440929533
RSUPPARM,0.004447408386718715
RINSULA,0.004377588065571954
LPOSCENM,0.004365350354139887
RPARCENM,0.004349776169943876
LPOSCIN,0.004347685679303225
LPARORB,0.0043446332914946605
LPARTRI,0.0043251175856359415
LTRTEM,0.0043182525615506435
LPARSOP,0.0043012183934022525
LPARCENM,0.00429742638064319
RPRECENM,0.004259696566191805
LTRTEMM,0.004246826956610394
WMHVOL,0.0042307406093306426
LPOSCINM,0.004228405667178932
RPOSCENM,0.004208497893707414
LPRECUN,0.004204428031428989
RPERCAL,0.004203982987037744
RROSMF,0.0041991532031988
RSUPMAR,0.004189270339541398
LSUPPAR,0.00417666189260601
RCUN,0.004133873832670637
LCMFM,0.004110402723929483
CERETISS,0.004098880308613674
LPOSCEN,0.004072011953116952
LSUPMAR,0.004063322755682862
LPARSOPM,0.00405105005507388
LPERCALM,0.0040297601311769975
RLATORBF,0.004025439903142266
LLATORBF,0.004023713750819148
LLATORBM,0.004020730467235427
RPARORB,0.0040071663548340904
LINFPAR,0.004003075074654363
LROSMF,0.004002027006972283
RPOSCEN,0.003943380983828071
RPARCEN,0.003916689651466093
LINSULA,0.003891509411833689
RCUNM,0.003862098401288196
LCUN,0.0038486279575936054
RPRECEN,0.0037963101541588855
RLING,0.0037824374721527137
LPRECENM,0.0037056188267490598
LCUNM,0.0036554726833743856
LSUPFR,0.0036398678138760574
RISTHC,0.0035677503954934936
ROCCORT,0.003538475603153982
RSUPFR,0.003536594944990348
LPRECEN,0.003523827997079123
LOCCORT,0.0035033010606578758
RPRECUN,0.003317005589424994
OCCCORT,0.003315592373593255
PARCORT,0.0033124419964810103
LPARCORT,0.0031394691390630677
RFRCORT,0.0031277054472210637
RPARCORT,0.00305849429863624
GRAYVOL,0.002921668085800724
LFRCORT,0.00291967878542465
CEREGR,0.0028530313060934026
FRCORT,0.002852530615568648
