,importance
RENTM,0.04915790176940711
LHIPPO,0.03939884414052448
HIPPOVOL,0.039352227330829825
LENTM,0.03867706119003676
LATVENT,0.03385479058960659
RHIPPO,0.033495287540962856
RLATVENT,0.028617232233217892
CERECSF,0.027105216862556902
LLATVENT,0.026918713718705634
RFUSM,0.025956206686658396
RISTHCM,0.02402408201373202
CSFVOL,0.02128845765706076
LISTHCM,0.02057610984922117
THIRVENT,0.018703833940287885
RSUPTEMM,0.01629127894359498
LSUPTEMM,0.014972016947220316
RPARHIPM,0.01426757710907115
RENT,0.01396895012442824
LPARHIPM,0.012978255246529291
LENT,0.01139073154550616
WMHVOL,0.011386853672759547
LTEMPCOR,0.008840872938227435
RLINGM,0.008485667162233085
TEMPCOR,0.008291649165401075
LINFTEMM,0.008088192541828038
RINFTEMP,0.007921053526810816
LFUSM,0.007874838566209347
RPRECUNM,0.007472495280143381
RPARCENM,0.007210489249868052
LINFTEMP,0.006932949851482467
RTEMPCOR,0.006581389854869782
RINFTEMM,0.0062889534743560335
LPOSCINM,0.00621393437745299
LPRECUNM,0.00600807825687606
RPOSCINM,0.005793824835399553
LMIDTEMP,0.005572643519228487
RPARHIP,0.005441727956859791
LMIDTEMM,0.005293423489637453
LFUS,0.0049976184668474675
LLINGM,0.004950153834755916
LCACM,0.0048334328150617
LPARHIP,0.0048095116865370015
CEREALL,0.0047326103353573495
LROSMFM,0.004611494686770303
RMIDTEMP,0.00439232158682974
NACCICV,0.0043672982271844105
RROSMFM,0.004309949209172236
RFUS,0.0042156354729661494
RPERCALM,0.0041922065289414345
RINFPAR,0.004144526431842274
RSUPPARM,0.004086915170127911
LROSANCM,0.0040843041303869005
NACCWMVL,0.00407784055540794
LSUPFRM,0.004063992323701396
RPARTRIM,0.004045337756920768
LTRTEMM,0.003952034056574058
RMIDTEMM,0.003938470411315556
LPARTRIM,0.003793666986776777
LINFPAR,0.0037477117501441837
RSUPTEM,0.0036510955084014126
LSUPPARM,0.0036460408095625187
LPARCENM,0.0036187573759262903
WHITEVOL,0.003581392306992176
RROSANCM,0.0035802310216674375
LPERCAL,0.0035676670992758593
RSUPFRM,0.0034695976888111575
RMEDORBM,0.0034600288067448428
CEREWH,0.0034461289369186994
RPRECUN,0.0033862251198976735
RLATOCCM,0.0033304053664219195
LCMF,0.0033007129264678824
RLATOCC,0.003284229626898777
RCAC,0.003231727881053003
LINSULAM,0.0032278366319300365
RINSULAM,0.003218575149891921
RSUPMARM,0.0032114940846851023
LSUPMARM,0.0031734850596481833
RTRTEMM,0.003152044579083001
LPRECENM,0.0031424475083376173
RCMF,0.0031338319176050303
LINFPARM,0.00311606334393693
RCUNM,0.0030509473496956587
LPARORBM,0.0030450987934971126
RCMFM,0.003041565599972139
RPARCORT,0.0030207061958647816
LPRECUN,0.00299290334033711
RCACM,0.002983902296556682
RINFPARM,0.002983327631451232
LISTHC,0.00297162430466934
RPARORBM,0.0029633921393297505
LSUPPAR,0.0029288895260942568
LPARORB,0.002920566348480854
LMEDORBM,0.00291909743419105
LCUN,0.0029143527961880975
LROSANC,0.002909172079274893
RSUPMAR,0.002905918939633708
RPARSOPM,0.002905850486460338
LPARSOPM,0.0028973525266723452
RSUPPAR,0.0028811417790139265
RTRTEM,0.002867271715609673
NACCBRNV,0.0028608793838115158
RPARSOP,0.0028572017333408214
LLATOCCM,0.002837884577281953
LLING,0.002834932277365999
LPERCALM,0.002821640081462886
LPOSCEN,0.0027811646423843927
LROSMF,0.002778945327918661
RLING,0.002778011033386831
LSUPTEM,0.0027744479525904668
RPARORB,0.002764866602639241
RROSMF,0.002761256411502825
RPARCEN,0.002760642194357363
LPARCEN,0.0027566842320776454
RPOSCIN,0.0027559817680215064
LLATORBM,0.002748867459383921
RPRECENM,0.0027435835151794355
LCMFM,0.0027414961376966574
LCAC,0.0027017387454102227
LPRECEN,0.002695419089260445
LSUPMAR,0.002680594151044454
RPERCAL,0.0026792860504975756
RROSANC,0.0026739610707038537
LMEDORBF,0.002671514492578474
ROCCORT,0.0026674436483775017
RISTHC,0.0026532223712680777
RPRECEN,0.002623056390371561
LPOSCIN,0.0026193554282823387
PARCORT,0.0026130901235431768
RINSULA,0.0026073371455508053
LCUNM,0.002606154193752072
RPOSCEN,0.0025856242517083975
LTRTEM,0.002572950788340725
LLATOCC,0.002525787625001459
RCUN,0.0025152900201535306
LPOSCENM,0.002496399902375946
LINSULA,0.002468916083605919
RLATORBM,0.002424896534006657
RLATORBF,0.0024132974808606746
LPARTRI,0.0023945503050655723
RPARTRI,0.0023278855207863585
CEREGR,0.0023071351777641394
LSUPFR,0.0022968140267607224
LOCCORT,0.0022476147286320893
CERETISS,0.002242184105776964
LPARSOP,0.002216836384199036
OCCCORT,0.00221223432577993
GRAYVOL,0.0022116028252050723
RPOSCENM,0.0021870152538041995
RMEDORBF,0.002167694214143984
LPARCORT,0.002155624819769988
LLATORBF,0.002152986478603257
RSUPFR,0.0021432714153603065
FRCORT,0.002079398572985374
RFRCORT,0.0019458459852962188
LFRCORT,0.0017835393273971576
